Domain, V4_m1, V5_m1, V6_m1, V9_m1, V10_m1, V11_m1, V12_m1, V13_m1, V14_m1,,,,,
2.416425,1.01687603105,1.01877140378,1.06918879907,1.05352952326,1.04885538164,1.05542530821,1.05426242903,1.04931457303,1.03360688236,,,,,
2.43309,1.01687617957,1.01877148621,1.06918860903,1.05352898497,1.04885481527,1.05542496894,1.05426205433,1.04931419568,1.03360608609,,,,,
2.449755,1.01687611318,1.01877147296,1.06918864868,1.05352889103,1.04885483534,1.0554249952,1.05426218305,1.04931418394,1.03360639619,,,,,
2.46642,1.0168760312,1.01877140388,1.06918879917,1.05352952337,1.04885538209,1.05542530864,1.0542624294,1.04931457344,1.03360688267,,,,,
2.483085,1.01687617972,1.01877148632,1.06918860913,1.05352898507,1.0488548157,1.05542496935,1.05426205469,1.04931419607,1.03360608638,,,,,
2.49975,1.01687611333,1.01877147307,1.06918864878,1.05352889114,1.04885483578,1.05542499562,1.0542621834,1.04931418433,1.03360639648,,,,,
2.516415,1.01687603134,1.01877140399,1.06918879926,1.05352952348,1.04885538251,1.05542530905,1.05426242974,1.04931457382,1.03360688295,,,,,
2.53308,1.01687617986,1.01877148642,1.06918860922,1.05352898517,1.04885481612,1.05542496975,1.05426205503,1.04931419644,1.03360608664,,,,,
2.549745,1.01687611347,1.01877147317,1.06918864887,1.05352889126,1.04885483621,1.05542499602,1.05426218374,1.0493141847,1.03360639674,,,,,
2.56641,1.01687603148,1.01877140409,1.06918879935,1.05352952358,1.04885538293,1.05542530944,1.05426243007,1.04931457418,1.03360688319,,,,,
2.583075,1.01687618,1.01877148651,1.06918860931,1.05352898526,1.04885481652,1.05542497014,1.05426205535,1.04931419679,1.03360608687,,,,,
2.59974,1.01687611361,1.01877147327,1.06918864896,1.05352889137,1.04885483662,1.05542499641,1.05426218405,1.04931418503,1.03360639698,,,,,
2.616405,1.01687603161,1.01877140418,1.06918879944,1.05352952368,1.04885538332,1.05542530982,1.05426243038,1.0493145745,1.03360688341,,,,,
2.63307,1.01687618013,1.01877148661,1.0691886094,1.05352898535,1.0488548169,1.0554249705,1.05426205565,1.0493141971,1.03360608707,,,,,
2.649735,1.01687611374,1.01877147336,1.06918864904,1.05352889148,1.04885483702,1.05542499678,1.05426218435,1.04931418535,1.03360639718,,,,,
2.6664,1.01687603174,1.01877140427,1.06918879953,1.05352952378,1.0488553837,1.05542531018,1.05426243067,1.04931457481,1.0336068836,,,,,
2.683065,1.01687618025,1.0187714867,1.06918860948,1.05352898544,1.04885481727,1.05542497086,1.05426205594,1.0493141974,1.03360608725,,,,,
2.69973,1.01687611387,1.01877147345,1.06918864913,1.05352889158,1.04885483739,1.05542499713,1.05426218464,1.04931418564,1.03360639736,,,,,
2.716395,1.01687603187,1.01877140436,1.06918879961,1.05352952387,1.04885538406,1.05542531052,1.05426243095,1.04931457509,1.03360688377,,,,,
2.73306,1.01687618038,1.01877148678,1.06918860956,1.05352898553,1.04885481762,1.0554249712,1.05426205621,1.04931419767,1.03360608741,,,,,
2.749725,1.016876114,1.01877147354,1.06918864921,1.05352889168,1.04885483776,1.05542499747,1.0542621849,1.04931418591,1.03360639752,,,,,
2.76639,1.01687603199,1.01877140444,1.06918879968,1.05352952396,1.04885538441,1.05542531086,1.05426243121,1.04931457535,1.03360688391,,,,,
2.783055,1.01687618049,1.01877148686,1.06918860963,1.05352898561,1.04885481796,1.05542497152,1.05426205646,1.04931419793,1.03360608754,,,,,
2.79972,1.01687611412,1.01877147362,1.06918864928,1.05352889178,1.04885483811,1.0554249978,1.05426218516,1.04931418616,1.03360639766,,,,,
2.816385,1.0168760321,1.01877140452,1.06918879976,1.05352952405,1.04885538475,1.05542531117,1.05426243146,1.0493145756,1.03360688404,,,,,
2.83305,1.01687618061,1.01877148694,1.06918860971,1.05352898569,1.04885481829,1.05542497183,1.05426205671,1.04931419816,1.03360608766,,,,,
2.849715,1.01687611423,1.0187714737,1.06918864936,1.05352889187,1.04885483844,1.05542499812,1.0542621854,1.04931418639,1.03360639779,,,,,
2.86638,1.01687603221,1.0187714046,1.06918879983,1.05352952413,1.04885538507,1.05542531148,1.05426243169,1.04931457582,1.03360688415,,,,,
2.883045,1.01687618072,1.01877148701,1.06918860978,1.05352898577,1.0488548186,1.05542497213,1.05426205694,1.04931419838,1.03360608777,,,,,
2.89971,1.01687611434,1.01877147378,1.06918864943,1.05352889196,1.04885483876,1.05542499842,1.05426218562,1.04931418661,1.03360639789,,,,,
2.916375,1.01687603232,1.01877140467,1.0691887999,1.05352952421,1.04885538538,1.05542531177,1.05426243191,1.04931457603,1.03360688425,,,,,
2.93304,1.01687618082,1.01877148709,1.06918860984,1.05352898585,1.0488548189,1.05542497242,1.05426205715,1.04931419859,1.03360608785,,,,,
2.949705,1.01687611445,1.01877147385,1.06918864949,1.05352889205,1.04885483907,1.05542499871,1.05426218584,1.04931418681,1.03360639798,,,,,
2.96637,1.01687603243,1.01877140474,1.06918879996,1.05352952429,1.04885538567,1.05542531206,1.05426243212,1.04931457623,1.03360688433,,,,,
2.983035,1.01687618092,1.01877148715,1.06918860991,1.05352898592,1.04885481919,1.05542497269,1.05426205736,1.04931419878,1.03360608793,,,,,
